var_a,var_b,n,pearson,spearman,mutual_information,normalised_mutual_information,implementation_note,abs_pearson,abs_spearman
accommodates,bedrooms,14102,0.8777743557429198,0.8831909426863296,0.4033736080560183,0.38516293762060416,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.8777743557429198,0.8831909426863296
accommodates,bathrooms,14471,0.6677931209233451,0.6503227259129776,0.25737981886463884,0.21764770251898663,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.6677931209233451,0.6503227259129776
accommodates,distance_cbd_km,14472,0.23165085674092756,0.14860519880050152,0.052714458161615504,0.035765965391976864,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.23165085674092756,0.14860519880050152
accommodates,amenity_count,14472,0.22254208965361122,0.23688508804051828,0.031952118914213776,0.021692974602485184,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.22254208965361122,0.23688508804051828
bedrooms,bathrooms,14101,0.7302202983868716,0.6962536775618227,0.23555565389134298,0.2626938560411569,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.7302202983868716,0.6962536775618227
bedrooms,distance_cbd_km,14102,0.2950630834513254,0.24595206560949698,0.08680483906685457,0.07343697563626399,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.2950630834513254,0.24595206560949698
bedrooms,amenity_count,14102,0.15383013182210192,0.1798630109655306,0.012064297682902313,0.01021914736398809,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.15383013182210192,0.1798630109655306
bathrooms,distance_cbd_km,14471,0.17599720993337148,0.18418760829292513,0.052292154758953165,0.03967165537875063,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.17599720993337148,0.18418760829292513
bathrooms,amenity_count,14471,0.1287067395052534,0.15376953966028017,0.014591689740114756,0.011077988044435834,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.1287067395052534,0.15376953966028017
distance_cbd_km,amenity_count,14472,0.028156932700747015,0.005708496177951718,0.006373117671155712,0.00396217291409871,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,0.028156932700747015,0.005708496177951718
