var_a,var_b,n,pearson,spearman,mutual_information,normalised_mutual_information,implementation_note
accommodates,bedrooms,14102,0.877774355742921,0.8831909426863296,0.4033736080560183,0.38516293762060416,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
accommodates,bathrooms,14471,0.6677931209233454,0.6503227259129776,0.25737981886463884,0.21764770251898663,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
accommodates,distance_cbd_km,14472,0.2316508567409277,0.14860519880050152,0.052714458161615504,0.035765965391976864,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
accommodates,amenity_count,14472,0.22254208965361116,0.23688508804051828,0.031952118914213776,0.021692974602485184,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
accommodates,high_price,14472,0.4725567281978057,0.45178474972867505,0.10675121217441985,0.11233177462128686,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bedrooms,bathrooms,14101,0.7302202983868716,0.6962536775618227,0.23555565389134298,0.2626938560411569,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bedrooms,distance_cbd_km,14102,0.2950630834513255,0.24595206560949698,0.08680483906685457,0.07343697563626399,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bedrooms,amenity_count,14102,0.15383013182210192,0.1798630109655306,0.012064297682902313,0.01021914736398809,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bedrooms,high_price,14102,0.5178914187083232,0.4969789669334573,0.12635873695047845,0.19112906906297375,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bathrooms,distance_cbd_km,14471,0.17599720993337145,0.18418760829292513,0.052292154758953165,0.03967165537875063,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bathrooms,amenity_count,14471,0.1287067395052534,0.15376953966028017,0.014591689740114756,0.011077988044435834,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
bathrooms,high_price,14471,0.45450479247912934,0.45233296868649586,0.10605278451072522,0.1334762908161436,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
distance_cbd_km,amenity_count,14472,0.028156932700747157,0.005708496177951718,0.006373117671155712,0.00396217291409871,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
distance_cbd_km,high_price,14472,0.15177248250799577,0.15840161043183126,0.01341056142072962,0.012349873727023243,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
amenity_count,high_price,14472,0.09330425734023802,0.10665174613164426,0.010541700132596907,0.009716397414874222,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.
