model,feature_set,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
DecisionTree,size_location_amenities,,1,2,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6948902096805712,0.005920990165470894,60,0.9989048556905644,0.00014706206307121779
DecisionTree,size_location_amenities,,1,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7076344372803495,0.010870842905555808,59,0.8964646519827386,0.0026347544978520105
DecisionTree,size_location_amenities,,1,30,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7207365263853374,0.0070868900979539715,55,0.829626773795092,0.0015008349401480457
DecisionTree,size_location_amenities,,5,2,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7141797091607442,0.005720170919985595,57,0.8516555542804806,0.0008920949962756781
DecisionTree,size_location_amenities,,5,10,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7141797091607442,0.005720170919985595,57,0.8516555542804806,0.0008920949962756781
DecisionTree,size_location_amenities,,5,30,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7243606441611053,0.004438027038862487,51,0.8097698212852469,0.0028884462604026094
DecisionTree,size_location_amenities,,15,2,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7335083386771452,0.004058039881353893,46,0.7936053449889414,0.003170082154803128
DecisionTree,size_location_amenities,,15,10,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7335083386771452,0.004058039881353893,46,0.7936053449889414,0.003170082154803128
DecisionTree,size_location_amenities,,15,30,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7335083386771452,0.004058039881353893,46,0.7936053449889414,0.003170082154803128
DecisionTree,size_location_amenities,,30,2,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.741647554094458,0.008966605395694318,25,0.7720177417810058,0.0027994658916979712
DecisionTree,size_location_amenities,,30,10,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.741647554094458,0.008966605395694318,25,0.7720177417810058,0.0027994658916979712
DecisionTree,size_location_amenities,,30,30,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.741647554094458,0.008966605395694318,25,0.7720177417810058,0.0027994658916979712
DecisionTree,size_location_amenities,3,1,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,1,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,1,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,5,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,5,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,5,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,15,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,15,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,15,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,30,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,30,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,3,30,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7378503226793968,0.028251937676356136,31,0.7464207363973598,0.022627819536732617
DecisionTree,size_location_amenities,5,1,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7511423643007914,0.00899959801998762,8,0.7597460549145147,0.006852244601467557
DecisionTree,size_location_amenities,5,1,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7511423643007914,0.00899959801998762,8,0.7597600569224439,0.0068364420819668975
DecisionTree,size_location_amenities,5,1,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7511423643007914,0.00899959801998762,8,0.7597687549278256,0.006846347248004189
DecisionTree,size_location_amenities,5,5,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.750572380945488,0.00824276602468849,11,0.7593049822531691,0.006791251556911854
DecisionTree,size_location_amenities,5,5,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.750572380945488,0.00824276602468849,11,0.7593049822531691,0.006791251556911854
DecisionTree,size_location_amenities,5,5,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7511518142195615,0.008635114369206078,7,0.7592541567085699,0.006871130979594699
DecisionTree,size_location_amenities,5,15,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7534928405073446,0.008430347728407601,1,0.7594152417207976,0.006436919298920078
DecisionTree,size_location_amenities,5,15,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7534928405073446,0.008430347728407601,1,0.7594152417207976,0.006436919298920078
DecisionTree,size_location_amenities,5,15,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7534928405073446,0.008430347728407601,1,0.7594152417207976,0.006436919298920078
DecisionTree,size_location_amenities,5,30,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.751940889416815,0.007938237380843743,4,0.7584137026164364,0.006677099392415788
DecisionTree,size_location_amenities,5,30,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.751940889416815,0.007938237380843743,4,0.7584137026164364,0.006677099392415788
DecisionTree,size_location_amenities,5,30,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.751940889416815,0.007938237380843743,4,0.7584137026164364,0.006677099392415788
DecisionTree,size_location_amenities,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7426167705096818,0.011376558976661125,23,0.791404532922239,0.0032836097143844807
DecisionTree,size_location_amenities,8,1,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7427434147278378,0.011729467957768646,22,0.7879430454152877,0.0032996045233264094
DecisionTree,size_location_amenities,8,1,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7423554803283112,0.012985762176501093,24,0.7834316515435527,0.0031185384291728072
DecisionTree,size_location_amenities,8,5,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7441542641290501,0.012367851158498812,17,0.7850799246589213,0.004282044706800058
DecisionTree,size_location_amenities,8,5,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7441542641290501,0.012367851158498812,17,0.7850799246589213,0.004282044706800058
DecisionTree,size_location_amenities,8,5,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7451663413579576,0.013404096751959277,16,0.7809074649416035,0.0032466551171333813
DecisionTree,size_location_amenities,8,15,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7440078294295743,0.008786656716045387,19,0.7760445254136606,0.004256062047083671
DecisionTree,size_location_amenities,8,15,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7440078294295743,0.008786656716045387,19,0.7760445254136606,0.004256062047083671
DecisionTree,size_location_amenities,8,15,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7440078294295743,0.008786656716045387,19,0.7760445254136606,0.004256062047083671
DecisionTree,size_location_amenities,8,30,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.746016995644412,0.0069288715599352966,13,0.768182304822228,0.004587785819661737
DecisionTree,size_location_amenities,8,30,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.746016995644412,0.0069288715599352966,13,0.768182304822228,0.004587785819661737
DecisionTree,size_location_amenities,8,30,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.746016995644412,0.0069288715599352966,13,0.768182304822228,0.004587785819661737
DecisionTree,size_location_amenities,12,1,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7178092095926952,0.009616611999034623,56,0.8572359273830245,0.0068696106510672
DecisionTree,size_location_amenities,12,1,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7217550615563539,0.010221973773798397,54,0.8303541157525739,0.005371578491295064
DecisionTree,size_location_amenities,12,1,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7247251928996032,0.006232575438648719,50,0.8056331148466898,0.005243688183681928
DecisionTree,size_location_amenities,12,5,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7227334360347637,0.005870182299705915,52,0.817686693251417,0.005327717519800283
DecisionTree,size_location_amenities,12,5,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7227334360347637,0.005870182299705915,52,0.817686693251417,0.005327717519800283
DecisionTree,size_location_amenities,12,5,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.726781923871188,0.004036654598218158,49,0.7966815862446416,0.005564057703739329
DecisionTree,size_location_amenities,12,15,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7369392005335857,0.0068815715764419605,43,0.7894559497326529,0.0051372250540710675
DecisionTree,size_location_amenities,12,15,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7369392005335857,0.0068815715764419605,43,0.7894559497326529,0.0051372250540710675
DecisionTree,size_location_amenities,12,15,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7369392005335857,0.0068815715764419605,43,0.7894559497326529,0.0051372250540710675
DecisionTree,size_location_amenities,12,30,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7413818622205943,0.008873402019858874,28,0.771996474159591,0.002760866636288285
DecisionTree,size_location_amenities,12,30,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7413818622205943,0.008873402019858874,28,0.771996474159591,0.002760866636288285
DecisionTree,size_location_amenities,12,30,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7413818622205943,0.008873402019858874,28,0.771996474159591,0.002760866636288285
