model,feature_set,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
DecisionTree,size_only,,1,2,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7269324119800655,0.008801398657609934,60,0.7717684326922747,0.003102834121790582
DecisionTree,size_only,,1,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7313591216368917,0.00970918474737542,59,0.7648199123431013,0.003643235679020374
DecisionTree,size_only,,1,30,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7374426078026717,0.013974968290450394,52,0.7601593484926834,0.0034718241011175437
DecisionTree,size_only,,5,2,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.73509795377964,0.010877493589067089,56,0.758922788781472,0.003533148909197945
DecisionTree,size_only,,5,10,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.73509795377964,0.010877493589067089,56,0.758922788781472,0.003533148909197945
DecisionTree,size_only,,5,30,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.733841826159174,0.009729893952139891,58,0.7558388371354792,0.004128593959263691
DecisionTree,size_only,,15,2,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7404695282033997,0.007229953574044675,47,0.7535072210054123,0.002833909401276561
DecisionTree,size_only,,15,10,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7404695282033997,0.007229953574044675,47,0.7535072210054123,0.002833909401276561
DecisionTree,size_only,,15,30,"{'model__max_depth': None, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7404695282033997,0.007229953574044675,47,0.7535072210054123,0.002833909401276561
DecisionTree,size_only,,30,2,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
DecisionTree,size_only,,30,10,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
DecisionTree,size_only,,30,30,"{'model__max_depth': None, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
DecisionTree,size_only,3,1,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,1,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,1,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,5,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,5,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,5,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7542326438584361,0.009608489091361853,13,0.7547295307841936,0.0018501216529056416
DecisionTree,size_only,3,15,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7554926297210826,0.011185232262937666,7,0.7568795637850425,0.002187835260437325
DecisionTree,size_only,3,15,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7554926297210826,0.011185232262937666,7,0.7568795637850425,0.002187835260437325
DecisionTree,size_only,3,15,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7554926297210826,0.011185232262937666,7,0.7568795637850425,0.002187835260437325
DecisionTree,size_only,3,30,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7553740804587201,0.011132635397604153,10,0.7564352964436616,0.0025404411520927473
DecisionTree,size_only,3,30,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7553740804587201,0.011132635397604153,10,0.7564352964436616,0.0025404411520927473
DecisionTree,size_only,3,30,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7553740804587201,0.011132635397604153,10,0.7564352964436616,0.0025404411520927473
DecisionTree,size_only,5,1,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7528576223908068,0.012356974044857564,24,0.7581714286581425,0.00298706497465228
DecisionTree,size_only,5,1,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7531613002196242,0.012268307626041176,22,0.7580819536132253,0.003020512327223692
DecisionTree,size_only,5,1,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7531613002196242,0.012268307626041176,22,0.7579925010827414,0.0030542404376292494
DecisionTree,size_only,5,5,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7534160159487783,0.012176422750574532,19,0.7575362857649196,0.003187183630142645
DecisionTree,size_only,5,5,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7534160159487783,0.012176422750574532,19,0.7575362857649196,0.003187183630142645
DecisionTree,size_only,5,5,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7534160159487783,0.012176422750574532,19,0.7575543937717193,0.0031882564653874096
DecisionTree,size_only,5,15,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7555177575266662,0.01052942717232154,4,0.7577750132962701,0.0023219846844912298
DecisionTree,size_only,5,15,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7555177575266662,0.01052942717232154,4,0.7577750132962701,0.0023219846844912298
DecisionTree,size_only,5,15,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7555177575266662,0.01052942717232154,4,0.7577750132962701,0.0023219846844912298
DecisionTree,size_only,5,30,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7559937948620752,0.009884107581144653,1,0.7565688519879296,0.0026583359785836867
