model,feature_set,param_model__n_neighbors,param_model__p,param_model__weights,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
KNN,size_location_amenities,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.7201521859415589,0.005727429030584449,25,0.8353945622450226,0.00115270870053112
KNN,size_location_amenities,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.7122565411410731,0.004155632195719128,27,0.9989050548390666,0.0001469849270355161
KNN,size_location_amenities,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.7200482312421642,0.007180553303694625,26,0.8343789281475841,0.0021547698739002663
KNN,size_location_amenities,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.7117397347367242,0.007260665569572905,28,0.9989050548390666,0.0001469849270355161
KNN,size_location_amenities,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.7298436450633397,0.007702213546700203,20,0.8006533986805685,0.002049123402706548
KNN,size_location_amenities,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.7257577218751277,0.005395274615331202,23,0.9989052539875687,0.00014690748053199087
KNN,size_location_amenities,5,2,uniform,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.7296882139946599,0.008848973468880821,21,0.7994522976904623,0.000848047603552107
KNN,size_location_amenities,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.7247538871339468,0.008159572325933413,24,0.9989052539875687,0.00014690748053199087
KNN,size_location_amenities,7,1,uniform,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.736794413131323,0.004231780844134295,16,0.7883966610354138,0.0030401327799528693
KNN,size_location_amenities,7,1,distance,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.7323925071179161,0.003747194475024143,18,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,7,2,uniform,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.7321229274771545,0.009231993817134899,19,0.7842442695747204,0.003128954032804285
KNN,size_location_amenities,7,2,distance,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.7295927842490566,0.0074742855345867965,22,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,11,1,uniform,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.7436962873904736,0.007578093355256589,2,0.7746364501698814,0.004212753155241252
KNN,size_location_amenities,11,1,distance,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.7373144430430261,0.003947949805181922,15,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,11,2,uniform,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'uniform'}",0.740959460349579,0.00839108601484016,8,0.7693591435449274,0.004088160796525205
KNN,size_location_amenities,11,2,distance,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.7374800433501928,0.008048758346366763,14,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,15,1,uniform,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'uniform'}",0.7434659587075145,0.006672934504695378,4,0.7681485977795314,0.0030158124392963654
KNN,size_location_amenities,15,1,distance,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",0.7394742409927092,0.006855207225501051,11,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,15,2,uniform,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'uniform'}",0.7420366156322011,0.0061419514282348465,6,0.7629771708574087,0.0031098746136929245
KNN,size_location_amenities,15,2,distance,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}",0.7389962879815467,0.005499128414168992,12,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,21,1,uniform,"{'model__n_neighbors': 21, 'model__p': 1, 'model__weights': 'uniform'}",0.7435521122434505,0.004625980021782375,3,0.761561771816224,0.003684634862546424
KNN,size_location_amenities,21,1,distance,"{'model__n_neighbors': 21, 'model__p': 1, 'model__weights': 'distance'}",0.7416162164113653,0.005681021555357759,7,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,21,2,uniform,"{'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'uniform'}",0.7408375983507481,0.007564786937712016,10,0.7544474379558531,0.003620024667214871
KNN,size_location_amenities,21,2,distance,"{'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'distance'}",0.7408759317354331,0.00716060002577431,9,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,31,1,uniform,"{'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'uniform'}",0.7422238559351296,0.007663035364023327,5,0.7570080206281009,0.0038389330173137096
KNN,size_location_amenities,31,1,distance,"{'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'distance'}",0.7437643693108427,0.0063611269366907,1,0.9989048556905644,0.00014706206307121779
KNN,size_location_amenities,31,2,uniform,"{'model__n_neighbors': 31, 'model__p': 2, 'model__weights': 'uniform'}",0.7343399273952427,0.008195093437825514,17,0.7480622991177464,0.004955617363532314
KNN,size_location_amenities,31,2,distance,"{'model__n_neighbors': 31, 'model__p': 2, 'model__weights': 'distance'}",0.7380296642950477,0.004128779417126396,13,0.9989048556905644,0.00014706206307121779
