model,feature_set,param_model__n_neighbors,param_model__p,param_model__weights,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
KNN,size_only,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.6201235586851505,0.07665177376624864,26,0.637269523396242,0.0696095534691635
KNN,size_only,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.6163958557259519,0.07572449748136069,28,0.6442495130397553,0.070794736184608
KNN,size_only,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.6207366074313623,0.07762726706177198,25,0.6371128318221639,0.06949544754027735
KNN,size_only,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.6168858242496683,0.07598040377033062,27,0.6442495130397553,0.070794736184608
KNN,size_only,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.680875430017518,0.05747239349136914,21,0.7059703108676075,0.05829539632066319
KNN,size_only,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.6750475547675951,0.05584410186065686,24,0.7156849754322794,0.05778711283395991
KNN,size_only,5,2,uniform,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.6803873089987842,0.05724047465699967,22,0.7061560606150529,0.05828766004432935
KNN,size_only,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.6752702135828718,0.05636295351802504,23,0.7156849754322794,0.05778711283395991
KNN,size_only,7,1,uniform,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.7173571806849856,0.014406940576745662,17,0.7376161556851991,0.013424066598573911
KNN,size_only,7,1,distance,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.7125438814161065,0.015073770156913814,19,0.7498125431451526,0.013901010621612676
KNN,size_only,7,2,uniform,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.7168057494611728,0.013253735774839452,18,0.7380750805302052,0.013365024885715159
KNN,size_only,7,2,distance,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.7116871306899266,0.014684255686459466,20,0.7498125431451526,0.013901010621612676
KNN,size_only,11,1,uniform,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.7289656535094192,0.02340410965007424,10,0.7435350958393664,0.01342668545191653
KNN,size_only,11,1,distance,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.7210482941756899,0.022752096096554555,14,0.7575386170569184,0.01415542321419107
KNN,size_only,11,2,uniform,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'uniform'}",0.728658095069046,0.024130541633655352,12,0.7432095505670601,0.013009864731147866
KNN,size_only,11,2,distance,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.7211747712521274,0.023113902702643185,13,0.7575386170569184,0.01415542321419107
KNN,size_only,15,1,uniform,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'uniform'}",0.7302448744575628,0.015615226343262624,9,0.7416067604238119,0.01556704111842518
KNN,size_only,15,1,distance,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",0.7208427082284442,0.014154931127749988,15,0.7571004612303289,0.016110754700430954
KNN,size_only,15,2,uniform,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'uniform'}",0.7286709655139566,0.015808725020106603,11,0.7411433910762067,0.015260405588801039
KNN,size_only,15,2,distance,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}",0.7195868365003338,0.01418255622580811,16,0.7571004612303289,0.016110754700430954
KNN,size_only,21,1,uniform,"{'model__n_neighbors': 21, 'model__p': 1, 'model__weights': 'uniform'}",0.7454541157816846,0.011272073982919273,1,0.7543825437493078,0.003989106484207678
KNN,size_only,21,1,distance,"{'model__n_neighbors': 21, 'model__p': 1, 'model__weights': 'distance'}",0.7347233389558455,0.009408738242472,5,0.7719729625330233,0.003568103962089487
KNN,size_only,21,2,uniform,"{'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'uniform'}",0.7450356274875372,0.010080193319328046,2,0.7545072669997774,0.004073253549997822
KNN,size_only,21,2,distance,"{'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'distance'}",0.7339515557402049,0.008754143810643687,6,0.7719729625330233,0.003568103962089487
KNN,size_only,31,1,uniform,"{'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'uniform'}",0.7408476303098432,0.009727078010826808,4,0.751247450542442,0.003099871097392069
KNN,size_only,31,1,distance,"{'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'distance'}",0.7314084640362315,0.009450084555585917,7,0.7693038094520341,0.003223976366620148
KNN,size_only,31,2,uniform,"{'model__n_neighbors': 31, 'model__p': 2, 'model__weights': 'uniform'}",0.7419484224315825,0.011851247635785263,3,0.750803836140288,0.002461691808928153
KNN,size_only,31,2,distance,"{'model__n_neighbors': 31, 'model__p': 2, 'model__weights': 'distance'}",0.7309774725199631,0.009548882688396676,8,0.7693038094520341,0.003223976366620148
