feature,embedded_score,filter_mi_score,embedded_rank,filter_rank,rank_difference
bedrooms,0.7792578320809017,0.13887697133067411,1,1,0
distance_cbd_km,0.07148583450275983,0.022078023336241426,2,5,3
bathrooms,0.0595243104360871,0.10757714532198759,3,3,0
accommodates,0.059376232197600506,0.12196618120827529,4,2,2
amenity_count,0.013221236074584617,0.01742150060566927,5,6,1
has_pool,0.008127758962866776,0.00022397959682463053,6,11,5
has_dryer,0.0052457932676879225,0.00020265476122487136,7,12,5
has_free_parking,0.0018863931760317034,0.010681764876000616,8,7,1
beds,0.0018746093014798007,0.10424684070856927,9,4,5
has_washer,0.0,0.005073802891545576,10,8,2
has_air_conditioning,0.0,0.000637681378735877,10,9,1
has_kitchen,0.0,0.0005840453237608879,10,10,0
