model,feature_set,parameter,default_value,chosen_value,changed_from_default,chosen_cv_macro_f1,cv_macro_f1_with_parameter_at_default,specific_cv_macro_f1_effect
KNN,size_only,n_neighbors,5,21,True,0.7442929609558232,0.725546332503179,0.018746628452644187
KNN,size_only,weights,uniform,uniform,False,0.7442929609558232,0.7442929609558232,0.0
KNN,size_only,p,2,1,True,0.7442929609558232,0.7436864483942861,0.0006065125615370981
KNN,size_location_amenities,n_neighbors,5,31,True,0.7437643693108427,0.7257577218751277,0.018006647435715006
KNN,size_location_amenities,weights,uniform,distance,True,0.7437643693108427,0.7422238559351296,0.0015405133757130374
KNN,size_location_amenities,p,2,1,True,0.7437643693108427,0.7380296642950477,0.005734705015794983
DecisionTree,size_only,max_depth,None,5,True,0.7559937948620752,0.7459841465006098,0.01000964836146534
DecisionTree,size_only,min_samples_split,2,2,False,0.7559937948620752,0.7559937948620752,0.0
DecisionTree,size_only,min_samples_leaf,1,30,True,0.7559937948620752,0.7528576223908068,0.003136172471268406
DecisionTree,size_location_amenities,max_depth,None,5,True,0.7534928405073446,0.7335083386771452,0.019984501830199397
DecisionTree,size_location_amenities,min_samples_split,2,2,False,0.7534928405073446,0.7534928405073446,0.0
DecisionTree,size_location_amenities,min_samples_leaf,1,15,True,0.7534928405073446,0.7511423643007914,0.0023504762065531537
