p,k,train_rows,unique_size_feature_combinations,test_boundary_tie_n,test_boundary_tie_pct
1,3,11577,867,2782,96.09671848013816
1,5,11577,867,2787,96.26943005181347
1,7,11577,867,2764,95.47495682210709
1,11,11577,867,2800,96.71848013816926
1,15,11577,867,2815,97.23661485319516
1,21,11577,867,2799,96.6839378238342
1,31,11577,867,2812,97.13298791018998
2,3,11577,867,2778,95.95854922279793
2,5,11577,867,2779,95.993091537133
2,7,11577,867,2772,95.75129533678756
2,11,11577,867,2789,96.33851468048358
2,15,11577,867,2812,97.13298791018998
2,21,11577,867,2799,96.6839378238342
2,31,11577,867,2796,96.58031088082902
