model,feature,permutation_importance_mean,permutation_importance_std
KNN,accommodates,0.0037620438021335302,0.004566585790118482
KNN,bedrooms,0.06109999954284,0.003848541731526238
KNN,beds,-0.0012040678570627516,0.0035968258450833858
KNN,bathrooms,0.040114893122984975,0.006758705123697726
KNN,distance_cbd_km,-0.0014947685441121905,0.003521318503078409
KNN,amenity_count,-0.0026073432308446275,0.003507785245095418
KNN,has_pool,-0.00500403011352728,0.0019953254616346798
KNN,has_free_parking,-0.004311611263211656,0.0029615657363890532
KNN,has_air_conditioning,-0.0007677236271630861,0.0029910290529067737
KNN,has_kitchen,-0.0011477341319269141,0.0009309970907018274
KNN,has_washer,0.0033481990511112667,0.002456872450758468
KNN,has_dryer,-0.0009012384133879392,0.0010065321652840168
DecisionTree,accommodates,0.030850305897920417,0.0028991132300260295
DecisionTree,bedrooms,0.23798763298628453,0.009068507785764885
DecisionTree,beds,0.0,0.0
DecisionTree,bathrooms,0.0047802994567268334,0.002051005463193097
DecisionTree,distance_cbd_km,0.01954843284385539,0.003434710831270252
DecisionTree,amenity_count,0.00327846154053707,0.0027595560543370715
DecisionTree,has_pool,0.0,0.0
DecisionTree,has_free_parking,0.0,0.0
DecisionTree,has_air_conditioning,0.0,0.0
DecisionTree,has_kitchen,0.0,0.0
DecisionTree,has_washer,0.0,0.0
DecisionTree,has_dryer,0.0,0.0
